motif_idx,pearson_diffusion,mse_diffusion,pearson_transformer,mse_transformer,pearson_diff,mse_diff
192,0.35817906,0.0018748203,0.0724367,0.0035765253,0.28574237,0.0017017049
193,0.3353015,0.0027499176,0.07984157,0.00510944,0.2554599,0.0023595225
194,0.3000933,0.0012250801,0.080995,0.0023740623,0.2190983,0.0011489822
195,0.26838022,0.0007372254,0.08403199,0.0014649767,0.18434823,0.0007277513
196,0.10118108,0.0006259835,-0.010683144,0.0007914665,0.111864224,0.00016548298
197,0.25387973,0.0021637024,0.04341313,0.003806751,0.2104666,0.0016430486
198,0.29904157,0.0007980342,0.024470882,0.0015848973,0.27457067,0.0007868631
199,0.3404882,0.0016952821,0.056715816,0.0036089283,0.28377238,0.0019136462
200,0.6320913,0.00041304063,0.026040874,0.00082132604,0.60605043,0.0004082854
201,0.4021907,0.0017575525,0.05789362,0.003367945,0.34429705,0.0016103926
202,0.62115073,0.0004120082,0.1682361,0.00070170354,0.45291463,0.00028969534
203,0.356673,0.0011033347,0.055503074,0.0022090867,0.30116993,0.001105752
204,0.43481994,0.0006739037,0.052923627,0.0012160987,0.38189632,0.000542195
205,0.58900845,0.0023439804,0.047079958,0.0044229054,0.54192847,0.002078925
206,0.30091792,0.000644548,0.05535963,0.0013966634,0.24555829,0.0007521154
207,0.47726324,0.00055590505,0.03960364,0.0012519549,0.4376596,0.0006960499
208,0.39387092,0.0005256358,0.1028932,0.0009780298,0.29097772,0.00045239402
209,0.6592425,0.0003236837,0.14975415,0.00053186953,0.50948834,0.00020818584
210,0.61663103,0.00033592785,0.09368174,0.00063196407,0.5229493,0.00029603622
211,0.498446,0.0005416647,0.07276113,0.0010344554,0.42568487,0.00049279066
212,0.5363027,0.001894864,0.040755272,0.003402863,0.4955474,0.0015079989
213,0.5467885,0.0042422945,0.1862495,0.00565168,0.36053902,0.0014093854
214,0.4755461,0.0032599545,0.15022011,0.004567987,0.32532597,0.0013080323
215,0.41169655,7.577726e-05,0.08812924,0.0001206561,0.32356733,4.487884e-05
216,0.46691865,0.0011943328,0.10638699,0.0025284772,0.36053166,0.0013341444
217,0.5583043,0.0010740677,0.0792571,0.0019682865,0.4790472,0.0008942188
218,0.08724262,0.0003651057,0.0027890296,0.00069865026,0.08445359,0.00033354457
219,0.27451745,0.0014945221,0.07875432,0.0022764772,0.19576313,0.0007819551
220,0.46769643,0.004044569,0.10259495,0.0073130117,0.3651015,0.0032684426
221,0.30267164,0.0001371336,0.049800493,0.0002649771,0.25287116,0.00012784351
